"socialdna_facebook_publish_story_neverask";"Never ask me again"
"socialdna_openid_signup_welcome_message";"Welcome to our network!"
"socialdna_openid_signup_hello";"Hello"
"socialdna_openid_signup_already_have_account";"Already have an account?"
"socialdna_openid_signup_connect_account";"Click here to login and connect your account to"
"socialdna_openid_signup_newuser";"New user?"
"socialdna_openid_signup_newuser_signup";"Click here for quick signup"
"socialdna_openid_link_loggedinas";"You are currently logged in as"
"socialdna_openid_link_question";"Would you like to connect your %s account?"
"socialdna_openid_link_confirm";"Yes, Connect my account"
"socialdna_openid_link_cancel";"Cancel"
"socialdna_facebook_no_facebook_friends";"No Facebook Friends have connected with you on this site, yet."
"socialdna_facebook_instant_login";"Autologin"
"socialdna_facebook_instant_login_help";"Automatically log in to this website if you are also logged in to Facebook"
"socialdna_facebook_enable_instant_login_question";"Enable Autologin"
"socialdna_facebook_enable_instant_login_ask";"Always ask me"
"socialdna_facebook_enable_instant_login_yes";"Yes, Log me in to this website whenever I'm logged into Facebook"
"socialdna_facebook_enable_instant_login_no";"No, Never log me in automatically using Facebook"
"socialdna_facebook_status_update";"Facebook Status Update"
"socialdna_facebook_status_update_help";"If you would like to have your Facebook status updated automatically without prompting, you need authorize it."
"socialdna_facebook_status_update_question";"Status Update"
"socialdna_facebook_status_update_ask";"Always ask me"
"socialdna_facebook_status_update_auto";"Update automatically"
"socialdna_facebook_status_update_statuscheck";"Status"
"socialdna_facebook_status_update_statuschecking";"Checking..."
"socialdna_facebook_status_update_authorized";"Authorized"
"socialdna_facebook_status_update_notauthorized";"Not Authorized"
"socialdna_facebook_status_update_authorize";"Click to authorize"
"socialdna_facebook_feed_stories";"Facebook Feed Stories"
"socialdna_facebook_feed_stories_help";"Publishing stories to Facebook"
"socialdna_facebook_invite_login";"Please login to Facebook to invite your friends."
"socialdna_facebook_invite_tophelp";""
"socialdna_facebook_invite_tophelp_link";"Click here to invite your friends by email"
"socialdna_facebook_not_connected";"You are not connected to Facebook. Click on the button below to connect with your facebook friends, publish stories and see your friends' updates."
"socialdna_facebook_loading";"Loading..."
"socialdna_facebook_login_for_friends";"Please login to Facebook to see your friends."
"socialdna_facebook_friends_youhave";"You have"
"socialdna_facebook_friends_youhave2";"Facebook friend(s) that is already here"
"socialdna_facebook_friends_youhave3";"%s Facebook friend that is already here"
"socialdna_facebook_friends_youhave4";"%s Facebook friends that are already here"
"socialdna_facebook_friends_seeall";"See all"
"socialdna_facebook_friends_nofriends";"No Facebook friends"
"socialdna_facebook_friends_invite";"Invite friends"
"socialdna_facebook_friends_nothere";"Your Facebook friends that are still not here"
"socialdna_facebook_friends_invitefriends";"Invite friends"
"socialdna_facebook_friends_allhere";"All your Facebook friends are here!"
"socialdna_facebook_disconnect";"Click here if you would like to disconnect your account from Facebook"
"socialdna_admin_openid_network";"Network"
"socialdna_admin_facebook_feed_stories";"Feed Story Templates"
"socialdna_admin_facebook_feed_stories_help";"Feed story templates specify what and how will be published in the facebook news stream."
"socialdna_openid_quick_signup_with";"Quick signup with"
"socialdna_openid_login_more";"more"

"socialdna_feedstory_desc_group";"Creating a Group"
"socialdna_feedstory_desc_event";"Creating an Event"
"socialdna_feedstory_desc_blog";"Posting a Blog Entry"
"socialdna_feedstory_desc_user_status";"Changing status"
"socialdna_feedstory_desc_video";"Adding A Video"
"socialdna_feedstory_desc_photo";"Uploading A Photo"
