id,bg_year_id,bg_make_id,bg_model_id,bg_submodel_id,,,,
272,64,11,,,,,,
273,64,2,,,,,,
274,64,35,195,,,,,
275,64,,,,,,,
276,64,,,,,,,
277,64,,,,,,,
278,64,,,,,,,
279,64,2,153,,,,,
280,36,2,151,,,,,
281,36,42,240,,,,,
282,36,35,,,,,,
283,36,,,,,,,
284,36,33,,,,,,
285,36,10,,,,,,
286,36,34,,,,,,
287,36,19,,,,,,
288,36,11,54,,,,,
289,36,29,,,,,,
290,36,52,,,,,,
291,36,,,,,,,
292,36,35,195,,,,,
293,36,,,,,,,
294,36,30,,,,,,
295,36,4,15,,,,,
296,36,31,,,,,,
297,36,48,,,,,,
298,36,12,,,,,,
299,36,,,,,,,
300,36,42,,,,,,
301,36,,,,,,,
302,36,,,,,,,
303,36,35,,,,,,
304,36,,,,,,,
305,36,34,,,,,,
306,36,11,54,,,,,
307,36,,,,,,,
308,36,35,,,,,,
309,36,32,172,,,,,
310,36,2,151,,,,,
311,36,,,,,,,
312,36,18,,,,,,
313,36,10,,,,,,
314,65,35,,,,,,
315,65,2,,,,,,
316,65,18,,,,,,
317,65,33,181,,,,,
318,65,,,,,,,
319,65,,,,,,,
320,65,,,,,,,
321,65,2,,,,,,
322,65,10,,,,,,
323,65,30,,,,,,
324,65,35,,,,,,
325,65,5,,,,,,
326,65,45,,,,,,
327,65,13,,,,,,
328,65,29,126,,,,,
329,65,,,,,,,
330,65,,,,,,,
331,65,,,,,,,
332,65,4,15,,,,,
333,65,35,195,,,,,
334,65,,,,,,,
335,65,,,,,,,
336,65,19,,,,,,
337,65,26,,,,,,
338,65,17,,,,,,
339,65,30,,,,,,
340,65,49,,,,,,
341,65,52,,,,,,
342,65,,,,,,,
343,65,64,,,,,,
344,65,,,,,,,
345,65,8,,,,,,
346,65,,,,,,,
347,65,,,,,,,
348,65,5,,,,,,
349,65,,,,,,,
350,65,2,349,,,,,
351,65,,,,,,,
352,65,35,,,,,,
353,65,31,,,,,,
354,65,35,195,,,,,
355,65,,,,,,,
356,65,,,,,,,
357,65,42,240,,,,,
358,42,11,54,,,,,
359,42,18,,,,,,
360,42,,,,,,,
361,42,42,240,,,,,
362,42,10,,,,,,
363,42,10,,,,,,
364,42,35,195,,,,,
365,42,29,,,,,,
366,42,10,,,,,,
367,42,10,,,,,,
368,42,2,349,,,,,
369,42,,,,,,,
370,42,,,,,,,
371,42,19,,,,,,
372,42,,,,,,,
373,42,,,,,,,
374,42,,,,,,,
375,42,2,151,3659,,,,
376,42,8,,,,,,
377,42,64,,,,,,
378,42,35,,,,,,
379,42,,,,,,,
380,42,5,,,,,,
381,42,42,,,,,,
382,42,34,,,,,,
383,42,64,,,,,,
384,42,64,,,,,,
385,42,,,,,,,
386,42,4,16,,,,,
387,42,50,275,,,,,
388,42,,,,,,,
389,42,2,349,,,,,
390,42,34,,,,,,
391,42,13,,,,,,
392,42,33,181,,,,,
393,42,,,,,,,
394,42,29,,,,,,
395,42,22,,,,,,
396,42,35,,,,,,
397,42,,,,,,,
398,42,43,,,,,,
399,42,46,,,,,,
400,42,17,86,,,,,
401,43,,,,,,,
402,43,10,,,,,,
403,43,50,,,,,,
404,43,,,,,,,
405,43,,,,,,,
406,43,2,349,,,,,
407,43,35,195,,,,,
408,43,5,,,,,,
409,43,,,,,,,
410,43,10,,,,,,
411,43,11,54,,,,,
412,43,,,,,,,
413,43,17,,,,,,
414,43,,,,,,,
415,43,8,,,,,,
416,43,2,151,3660,,,,
417,43,35,,,,,,
418,43,8,,,,,,
419,43,19,,,,,,
420,43,35,195,,,,,
421,43,2,349,,,,,
422,43,13,,,,,,
423,43,,,,,,,
424,43,,,,,,,
425,43,64,,,,,,
426,43,2,,,,,,
427,43,33,,,,,,
428,43,18,,,,,,
429,43,,,,,,,
430,43,,,,,,,
431,43,35,195,,,,,
432,43,,,,,,,
433,43,5,,,,,,
434,43,17,83,,,,,
435,43,,,,,,,
436,43,26,361,,,,,
437,43,34,,,,,,
438,43,45,,,,,,
439,43,50,,,,,,
440,43,35,,,,,,
441,43,52,,,,,,
442,43,,,,,,,
443,43,52,,,,,,
444,43,,,,,,,
445,43,,,,,,,
446,43,4,15,,,,,
447,66,2,,,,,,
448,66,33,,,,,,
449,66,35,,,,,,
450,66,,,,,,,
451,66,10,,,,,,
452,66,,,,,,,
453,66,64,,,,,,
454,66,,,,,,,
455,66,10,,,,,,
456,66,11,54,,,,,
457,66,11,54,,,,,
458,66,11,54,,,,,
459,66,11,54,,,,,
460,66,,,,,,,
461,66,,,,,,,
462,66,42,240,,,,,
463,66,,,,,,,
464,66,52,,,,,,
465,66,,,,,,,
466,66,,,,,,,
467,66,64,,,,,,
468,66,19,,,,,,
469,66,13,,,,,,
470,66,2,349,,,,,
471,66,,,,,,,
472,66,2,151,,,,,
473,66,,,,,,,
474,66,52,,,,,,
475,66,52,,,,,,
476,66,33,350,,,,,
477,66,,,,,,,
478,66,,,,,,,
479,66,29,132,,,,,
480,66,2,,,,,,
481,66,35,,,,,,
482,66,42,241,,,,,
483,66,18,,,,,,
484,66,35,,,,,,
485,66,15,,,,,,
486,66,27,,,,,,
487,66,4,15,,,,,
488,66,11,55,,,,,
489,35,10,,,,,,
490,35,,,,,,,
491,35,,,,,,,
492,35,35,195,3639,,,,
493,35,2,,,,,,
494,35,,,,,,,
495,35,64,,,,,,
496,35,29,126,,,,,
497,35,29,126,,,,,
498,35,,,,,,,
499,35,31,,,,,,
500,35,13,,,,,,
501,35,19,,,,,,
502,35,35,,,,,,
503,35,2,349,,,,,
504,35,27,118,,,,,
505,35,10,,,,,,
506,35,10,,,,,,
507,35,10,,,,,,
508,35,18,98,,,,,
509,35,8,32,,,,,
510,35,11,55,,,,,
511,35,,,,,,,
512,35,64,,,,,,
513,35,,,,,,,
514,35,,,,,,,
515,35,50,,,,,,
516,35,,,,,,,
517,35,,,,,,,
518,35,4,12,,,,,
519,35,17,,,,,,
520,35,3,,,,,,
521,35,,,,,,,
522,35,,,,,,,
523,35,,,,,,,
524,35,64,,,,,,
525,35,,,,,,,
526,35,,,,,,,
527,35,35,,,,,,
528,35,37,,,,,,
529,44,2,,,,,,
530,44,,,,,,,
531,44,17,83,,,,,
532,44,35,,,,,,
533,44,18,98,,,,,
534,44,,,,,,,
535,44,35,195,,,,,
536,44,64,,,,,,
537,44,33,181,,,,,
538,44,,,,,,,
539,44,18,,,,,,
540,44,35,,,,,,
541,44,42,241,,,,,
542,44,3,,,,,,
543,44,2,349,,,,,
544,44,2,151,3662,,,,
545,44,2,151,3662,,,,
546,44,2,151,3662,,,,
547,44,2,151,3662,,,,
548,44,19,,,,,,
549,44,5,,,,,,
550,44,64,,,,,,
551,44,,,,,,,
552,44,17,83,,,,,
553,44,,,,,,,
554,44,4,16,,,,,
555,44,2,,,,,,
556,44,35,,,,,,
557,44,49,,,,,,
558,44,,,,,,,
559,44,3,,,,,,
560,44,,,,,,,
561,44,17,,,,,,
562,44,,,,,,,
563,44,,,,,,,
564,44,52,,,,,,
